ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
24322,ESCUELA RURAL SENO OBSTRUCCION,6.9,2008
2038,ESCUELA BÃSICA EL ASILO,6.81,2008
6941,ESCUELA RURAL  EL VERGEL,6.766666666666667,2008
1137,ESC. BAS. HORTENSIA POWELL S,6.7631578947368425,2008
11609,ESCUELA MUNICIPAL MELIMOYU,6.733333333333333,2008
24917,COLEGIO PLANACAP DE PROVIDENCIA,6.733333333333333,2008
4907,GOMERO,6.720000000000001,2008
8178,ESCUELA RURAL  HUELMO,6.7,2008
752,ESCUELA VALLE HERMOSO,6.68,2008
7216,ESCUELA RURAL  LOS CERRILLOS,6.666666666666667,2008
999,ESCUELA DIECIOCHO DE SEPTIEMBRE,6.65,2008
24617,SAINT TRINITY  COLLEGE,6.644444444444444,2008
22671,COLEGIO FRANCISCO HERNANDEZ ORTIZ,6.6375,2008
13363,ESCUELA BASICA MUNICIPAL LA GRANJITA,6.633333333333334,2008
6854,ESCUELA RURAL  PADRE EMILIO TIGGELBECK,6.633333333333333,2008
12299,ESCUELA  BASICA  PICHILEMU,6.625,2008
503,ESCUELA,6.6000000000000005,2008
6406,ESCUELA LLOLLINCO,6.6,2008
1150,ESC. NEFTALI REYES BASUALTO,6.6,2008
926,ESCUELA ALTAR ALTO,6.58,2008
4114,LOS TEMOS,6.566666666666666,2008
22015,ESCUELA RURAL INCOPULLI,6.566666666666666,2008
3423,ESC. PANTANILLO,6.566666666666666,2008
3959,PALLAHUALA,6.566666666666666,2008
8116,ESCUELA RURAL  HUITE,6.55,2008
8373,ESCUELA RURAL  SOBERANIA RIO CISNES,6.55,2008
7081,ESCUELA RURAL RAÃINTULELFU,6.55,2008
878,ESCUELA BASICA JOSE JOAQUIN VALLEJOS,6.540000000000001,2008
3876,HECTOR MANUEL ARIAS CORTES,6.54,2008
22016,ESCUELA PARTICULAR NÂº319  CARRAN CHICO,6.533333333333334,2008
11154,ESCUELA BASICA EL TOTORAL,6.533333333333334,2008
11686,ESC HEROES DE LA CONCEPCION,6.533333333333334,2008
7074,ESCUELA RURAL CACIQUE AILLAPAN,6.533333333333333,2008
17732,COLEGIO Y JARDIN INFANTIL CARIÃOSITOS,6.53134328358209,2008
472,ESCUELA HACIENDA LAS VENTANAS G 82,6.507142857142857,2008
1440,ESCUELA PARTICULAR LUCERO,6.503333333333333,2008
12684,ESCUELA BASICA DE CANCOSA,6.5,2008
785,ESCUELA LOS MAITENES DE SAMO ALTO,6.5,2008
8124,ESCUELA RURAL  CAUCAHUE,6.5,2008
11194,ESCUELA BASICA HUINCA,6.5,2008
4017,GRAL. MANUEL BAQUEDANO GONZALEZ,6.5,2008
22621,COLEGIO CALBUCO,6.482352941176471,2008
1152,ESCUELA BASICA G-21,6.479545454545455,2008
6602,CATRIANCHE,6.475,2008
92,ESCUELA  CHISLLUMA,6.475,2008
4320,LAS ASTAS,6.471428571428571,2008
26036,ESCUELA HOSPITAL  CLINIC PONT. U. C. DE,6.466666666666667,2008
3880,LA MONTANA,6.466666666666666,2008
4067,SANTA FILOMENA,6.466666666666666,2008
7455,ESCUELA RURAL  CANDELARIA PEREZ,6.4625,2008
3015,COLEGIO PARTICULAR MONTESSORI,6.4574496644295305,2008
24670,COLEGIO INTERNACIONAL ALBA,6.452214022140221,2008
819,ESCUELA BUENAVENTURA,6.45,2008
13555,ESCUELA BASICA EL PALOMO,6.45,2008
1876,ESCUELA BASICA LA QUEBRADA,6.45,2008
6988,ESCUELA RURAL  LONCOPAN BAJO,6.45,2008
8254,ESCUELA RURAL  DETICO,6.441666666666666,2008
12657,COLEGIO EAGLES COLLEGE,6.43758389261745,2008
1181,ESCUELA BAS. LOS ANGELES,6.435294117647059,2008
7920,ESCUELA PARTICULAR N 222  GABRIELA MISTR,6.433333333333334,2008
