ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
7574,ESCUELA RURAL SAN JOSE,7.0,2016
11609,ESCUELA MUNICIPAL MELIMOYU,6.8999999999999995,2016
1080,ESC.BASICA JOSE ANTONIO ECHAVARRIA,6.8500000000000005,2016
1130,ESC. BASICA LOS HORNOS DE HUAQUEN,6.775,2016
16578,CENTRO DE LENGUAJE CEDEL,6.775,2016
8397,ESCUELA TULIO BURGOS RIVERA,6.7727272727272725,2016
4921,ESCUELA ARMANDO JOSE SANTOS IBANEZ VARGA,6.75,2016
3851,ESCUELA HERNÃN MERINO CORREA,6.733333333333333,2016
8486,ESCUELA VILLA LAS ESTRELLAS,6.7,2016
12064,ESCUELA BASICA EL PIURE,6.666666666666667,2016
8880,COLEGIO NIDO DE AGUILAS,6.660639777468707,2016
5362,ESCUELA RIO BLANCO,6.65,2016
24322,ESCUELA BASICA RURAL SENO OBSTRUCCION,6.65,2016
3222,ESCUELA CARMEN ROSA MARTINEZ BAEZA,6.65,2016
10897,ESCUELA DE ILLAPATA,6.633333333333333,2016
502,ESCUELA DE LAS MARQUESAS,6.625,2016
24218,ESC.NUESTRA SRA DE LA DIVINA PROVIDENCIA,6.625,2016
1171,ESCUELA BASICA LA FRONTERA DE ALICAHUE,6.623076923076923,2016
6011,ESC. BASICA MOLULCO,6.614285714285714,2016
2633,ESCUELA MARTA VALDES ECHEÃIQUE,6.613333333333333,2016
7823,ESCUELA RURAL EL YALE,6.6125,2016
3921,ESCUELA LAS HORMIGAS,6.6000000000000005,2016
10887,ESCUELA DE CHITITA,6.6000000000000005,2016
7178,ESCUELA RURAL HUACAHUE,6.6,2016
4322,ESCUELA MANIHUAL,6.6,2016
1154,ESCUELA RAUL ESCOBAR VARAS,6.6,2016
22180,ESCUELA PART.HUMBERTO HERNANDEZ,6.6,2016
22093,ESCUELA BASICA SAN LUIS,6.6,2016
8094,ESCUELA RURAL CAIPULLI,6.6,2016
500,ESCUELA BASICA RURAL EL TAMBO,6.58,2016
1876,ESCUELA BASICA LA QUEBRADA,6.575,2016
6526,ESCUELA BASICA EL PERAL,6.575,2016
788,ESCUELA BASICA VADO DE MORRILLOS,6.574999999999999,2016
11783,ESCUELA BASICA NÂ°1238 GIORDANO BRUNO,6.570796460176991,2016
1181,ESCUELA BASICA LOS ANGELES,6.566666666666666,2016
911,ESCUELA LOS TRIGOS,6.566666666666666,2016
2727,ESCUELA MUNICIPAL ESMERALDA,6.566666666666666,2016
6015,ESC. BASICA CURACALCO,6.566666666666666,2016
8452,ESCUELA DE PUERTO HARRIS,6.563461538461539,2016
8419,ESC. PROF. MIGUEL S. MONTECINOS C.,6.557142857142857,2016
8265,ESCUELA RURAL COCAUQUE,6.550000000000001,2016
179,ESCUELA BASICA MAUQUE,6.55,2016
