CODIGO_REGION_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
12,5.550338366973019,2002
8,5.513138357600898,2002
4,5.488357681971525,2002
3,5.4840093713393205,2002
5,5.483458118789488,2002
1,5.482339090236331,2002
6,5.464785385993612,2002
13,5.463302366295593,2002
2,5.451226125713898,2002
7,5.387576679934441,2002
9,5.383196419548113,2002
10,5.3721144956691145,2002
11,5.343341652553703,2002
0,6.240174672489083,2003
12,5.5803207603207605,2003
8,5.441518692850457,2003
2,5.440861252853498,2003
4,5.438366708556442,2003
1,5.41637819347743,2003
3,5.404845524970146,2003
13,5.399987884136445,2003
6,5.396858890274382,2003
5,5.389991381529611,2003
7,5.374515684857739,2003
10,5.308287031429782,2003
9,5.303871268864045,2003
11,5.22248594360273,2003
12,5.521216118973375,2004
8,5.404838143516851,2004
2,5.40309605737739,2004
4,5.402683277102473,2004
3,5.401672897196262,2004
1,5.379410558496756,2004
6,5.375281481724165,2004
13,5.359547806692663,2004
5,5.35641772105702,2004
7,5.332487458330039,2004
9,5.25911728318976,2004
10,5.2533209231921845,2004
11,5.223147403235899,2004
12,5.4802844725404976,2005
4,5.398651362392199,2005
8,5.380711239067696,2005
3,5.372881089410951,2005
2,5.360506496730944,2005
6,5.3344818705375,2005
7,5.328884687912946,2005
1,5.320461228339467,2005
5,5.315965859310968,2005
13,5.309512683972206,2005
10,5.246860983102919,2005
9,5.2424005495189405,2005
11,5.218234173771086,2005
12,5.495165927129554,2006
8,5.344089589967731,2006
4,5.331217058803266,2006
2,5.314189066096951,2006
6,5.3099182827716085,2006
7,5.304796135542961,2006
3,5.298375416865174,2006
13,5.265483970482891,2006
5,5.26524944071908,2006
1,5.250662403763115,2006
10,5.196124822012625,2006
9,5.187208861381735,2006
11,5.167877786952931,2006
12,5.48954192423522,2007
15,5.409513338867823,2007
8,5.333435374312479,2007
4,5.3331154804380985,2007
2,5.321806458079281,2007
6,5.306131346825468,2007
7,5.303324201901371,2007
3,5.283209375704305,2007
5,5.2691204494198685,2007
14,5.267970879223446,2007
13,5.252991209241295,2007
1,5.221586000664526,2007
9,5.2030736406974025,2007
10,5.197601651020678,2007
11,5.156526019690577,2007
12,5.507741563680604,2008
15,5.393419346183086,2008
8,5.357993410980883,2008
7,5.322025250864448,2008
4,5.304572916666666,2008
6,5.299183631875722,2008
2,5.282337708198458,2008
14,5.275275119004965,2008
3,5.271306227382142,2008
13,5.268529539700334,2008
5,5.26148620159274,2008
9,5.226135684838277,2008
1,5.206205701685305,2008
11,5.18978701444924,2008
10,5.188577758702688,2008
12,5.520298095146317,2009
15,5.420353962698799,2009
8,5.36546571620847,2009
7,5.345637492083597,2009
2,5.312346588119784,2009
3,5.310219379341363,2009
6,5.297606264238206,2009
4,5.282872491483811,2009
14,5.269133910556024,2009
