ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
4097,ESCUELA BASICA LOS CORRALES,6.95,2014
8486,ESCUELA VILLA LAS ESTRELLAS,6.916666666666667,2014
788,ESCUELA BASICA VADO DE MORRILLOS,6.859999999999999,2014
8141,ESCUELA RURAL SAN JOSE,6.85,2014
1080,ESC.BASICA JOSE ANTONIO ECHAVARRIA,6.825,2014
7097,ESCUELA RURAL RAGUINTULALFU,6.82,2014
24218,ESC.NUESTRA SRA DE LA DIVINA PROVIDENCIA,6.8,2014
6017,ESC. BASICA HUECHELEPUN,6.8,2014
22093,ESCUELA BASICA SAN LUIS,6.75,2014
4075,ESCUELA CERRO ALTO,6.7,2014
8052,ESCUELA RURAL GUAPILACUY,6.7,2014
24341,ESCUELA PAMPA GUANACO,6.699999999999999,2014
5490,ESC. BASICA COMUDE,6.666666666666667,2014
8342,ESCUELA RURAL PUERTO RAMIREZ,6.65,2014
3421,ESCUELA JUAN BULNES ALDUNATE,6.65,2014
8880,COLEGIO NIDO DE AGUILAS,6.641143654114365,2014
4092,ESCUELA BASICA LAS VERTIENTES,6.625,2014
2038,ESCUELA BASICA EL ASILO,6.6000000000000005,2014
6221,ESCUELA PARTICULAR SAN ROQUE,6.6,2014
758,ESCUELA CORDILLERA,6.6,2014
6390,ESCUELA PARTICULAR ARAUCANA PELEHUE,6.6,2014
3568,ESCUELA GUSTAVO ILUFI ILUFI,6.575,2014
7856,ESCUELA RURAL ASTILLEROS,6.575,2014
3015,COLEGIO PARTICULAR MONTESSORI,6.5695137976346905,2014
24322,ESCUELA BASICA RURAL SENO OBSTRUCCION,6.566666666666666,2014
7858,ESCUELA RURAL FRANCISCO HERNANDEZ NAVARRO,6.555555555555555,2014
20311,COLEGIO HUINGANAL,6.552884615384615,2014
3917,ESCUELA VALLE DE ATACALCO,6.55,2014
73,ESCUELA VALLE DE COBIJA,6.55,2014
10897,ESCUELA DE ILLAPATA,6.55,2014
165,ESCUELA CHUSMIZA,6.55,2014
1154,ESCUELA RAUL ESCOBAR VARAS,6.533333333333334,2014
7018,ESCUELA RURAL TRES CHIFLONES ALTO,6.533333333333334,2014
3369,ESCUELA ROBERTO MUNOZ VALDES,6.529999999999999,2014
948,ESCUELA BASICA LAS AGUILAS,6.525,2014
6476,ESCUELA PARTICULAR EL TEMO,6.525,2014
1153,ESCUELA BASICA EL CRUCERO,6.525,2014
6602,ESCUELA BASICA CATRIANCHE,6.5125,2014
7079,ESCUELA RURAL MALCHEHUE,6.511111111111111,2014
2890,ESCUELA JOSE SANTOS ALIAGA ROJAS,6.5,2014
84,ESCUELA LOS ALAMOS,6.5,2014
95,ESCUELA COLPITAS,6.5,2014
8285,ESCUELA RURAL AGUA FRESCA,6.5,2014
158,ESCUELA CHIAPA,6.5,2014
795,ESC.BASICA DOMINGO SANTA MARIA GONZALEZ,6.5,2014
3222,ESCUELA CARMEN ROSA MARTINEZ BAEZA,6.5,2014
922,ESCUELA BASICA LAS NIPAS,6.5,2014
1181,ESCUELA BASICA LOS ANGELES,6.5,2014
196,ESCUELA BASICA HUATACONDO,6.5,2014
4337,ESCUELA BASICA LA HOYADA,6.5,2014
3452,ESCUELA PATRICIO LARRAIN VALENZUELA,6.5,2014
6049,ESCUELA PARTICULAR LOS SAUCES,6.490476190476191,2014
6353,ESCUELA SAN PEDRO,6.49,2014
3596,ESCUELA LA CAPILLA DE PILEN ALTO,6.4875,2014
2643,ESCUELA PADRE ALBERTO HURTADO C.,6.486666666666666,2014
11593,ESCUELA RURAL MARIA ENRIQUETA CHIGUAY CAIPILLAN,6.485714285714286,2014
5516,ESC. BASICA COYANCAHUIN,6.485714285714286,2014
776,ES.BAS.SAN PEDRO DE RIO HURTADO,6.483333333333333,2014
17640,ESCUELA BASICA EL PILME,6.4799999999999995,2014
6867,ESC.RURAL JORGE ROBERTO FONTANNAZ BLUAS,6.471428571428571,2014
8197,ESCUELA RURAL LAS LAGUNAS,6.471428571428571,2014
5360,ESCUELA BASICA LEFUCO,6.466666666666666,2014
8149,ESCUELA RURAL CARIHUEICO,6.466666666666666,2014
6363,ESCUELA PUCHILCO,6.459999999999999,2014
8305,ESCUELA RURAL CHANA,6.459999999999999,2014
20221,COLEGIO MARÃA TERESA  FUENZALIDA,6.45,2014
276,ESCUELA BASICA TALABRE,6.45,2014
