ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
11609,ESCUELA MUNICIPAL MELIMOYU,6.9,2015
8486,ESCUELA VILLA LAS ESTRELLAS,6.883333333333333,2015
1080,ESC.BASICA JOSE ANTONIO ECHAVARRIA,6.779999999999999,2015
4342,ESCUELA ERMINDA GOMEZ DE POLIC.,6.74,2015
4097,ESCUELA BASICA LOS CORRALES,6.733333333333333,2015
788,ESCUELA BASICA VADO DE MORRILLOS,6.733333333333333,2015
3568,ESCUELA GUSTAVO ILUFI ILUFI,6.733333333333333,2015
276,ESCUELA BASICA TALABRE,6.725,2015
2038,ESCUELA BASICA EL ASILO,6.716666666666666,2015
7858,ESCUELA RURAL FRANCISCO HERNANDEZ NAVARRO,6.7,2015
6221,ESCUELA PARTICULAR SAN ROQUE,6.7,2015
8270,ESCUELA RURAL PELU,6.7,2015
1154,ESCUELA RAUL ESCOBAR VARAS,6.7,2015
3452,ESCUELA PATRICIO LARRAIN VALENZUELA,6.7,2015
1906,ESCUELA DELFINA ALARCON HENRIQUEZ,6.666666666666667,2015
1153,ESCUELA BASICA EL CRUCERO,6.666666666666667,2015
10887,ESCUELA DE CHITITA,6.666666666666667,2015
11575,ESCUELA PARTICULAR N. 293 LUCILA GODOY ALCAYAGA,6.654545454545455,2015
502,ESCUELA DE LAS MARQUESAS,6.654545454545455,2015
11154,ESCUELA BASICA EL TOTORAL,6.65,2015
8880,COLEGIO NIDO DE AGUILAS,6.6487738419618525,2015
168,ESCUELA CUISAMA,6.62,2015
6987,ESCUELA RURAL LONCOPAN,6.6000000000000005,2015
7030,ESCUELA RURAL LAS COLORADAS,6.6000000000000005,2015
82,ESCUELA SAN FRANCISCO DE ASIS,6.6000000000000005,2015
8150,ESCUELA RURAL EL PRADO,6.6,2015
95,ESCUELA COLPITAS,6.6,2015
4322,ESCUELA MANIHUAL,6.6,2015
4920,ESCUELA SAN NICANOR,6.56923076923077,2015
6011,ESC. BASICA MOLULCO,6.566666666666666,2015
4304,ESCUELA LOS LEONES,6.550000000000001,2015
8190,ESCUELA RURAL EL ESTERO,6.55,2015
904,ESCUELA CAMPO LINDO,6.55,2015
6807,ESCUELA RURAL PISHUINCO,6.55,2015
6097,ESCUELA LAS VERTIENTES,6.544444444444444,2015
5980,ESC. BASICA LLAULLAHUE,6.542857142857143,2015
16846,JARDIN INFANTIL MIS IDEAS,6.536666666666666,2015
5964,ESC. BASICA SAN CAMILO,6.536363636363637,2015
5850,ESC. BASICA VISTA HERMOSA,6.533333333333334,2015
3015,COLEGIO PARTICULAR MONTESSORI,6.5317135549872125,2015
1181,ESCUELA BASICA LOS ANGELES,6.529999999999999,2015
10538,ESCUELA BASICA G-N°637 LAS MELOSAS,6.525,2015
12064,ESCUELA BASICA EL PIURE,6.5200000000000005,2015
3635,ESCUELA SANTA ROSA,6.5200000000000005,2015
7681,ESCUELA RURAL RIO CHICO,6.5200000000000005,2015
2609,ESCUELA MUNICIPAL DE PALMILLA DE RETO,6.516666666666667,2015
7861,ESCUELA RURAL EL JARDIN DE OLMOPULLI,6.513333333333334,2015
6521,ESCUELA BASICA CAMARONES,6.5,2015
158,ESCUELA CHIAPA,6.5,2015
787,ESCUELA BASICA MORRILLOS,6.5,2015
175,ESCUELA YALA YALA,6.5,2015
22093,ESCUELA BASICA SAN LUIS,6.5,2015
