ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
8486,ESCUELA VILLA LAS ESTRELLAS,6.95,2013
8156,ESCUELA RURAL KILOMETRO 60,6.9,2013
8141,ESCUELA RURAL SAN JOSE,6.9,2013
926,ESCUELA ALTAR ALTO,6.9,2013
1154,ESCUELA RAUL ESCOBAR VARAS,6.9,2013
514,ESCUELA DE EL CORRAL,6.754545454545454,2013
24341,ESCUELA PAMPA GUANACO,6.75,2013
788,ESCUELA BASICA VADO DE MORRILLOS,6.733333333333333,2013
922,ESCUELA BASICA LAS NIPAS,6.7,2013
73,ESCUELA VALLE DE COBIJA,6.699999999999999,2013
4075,ESCUELA CERRO ALTO,6.65,2013
24218,ESC.NUESTRA SRA DE LA DIVINA PROVIDENCIA,6.65,2013
3030,ESCUELA LIHUENO,6.64375,2013
5850,ESC. BASICA VISTA HERMOSA,6.625,2013
762,ESCUELA CALETA EL TORO,6.613333333333333,2013
3444,ESCUELA AMANDA BENAVENTE D.,6.6,2013
7184,ESCUELA PARTICULAR CAMPO LINDO,6.6,2013
6221,ESCUELA PARTICULAR SAN ROQUE,6.6,2013
22093,ESCUELA BASICA SAN LUIS,6.6,2013
6475,ESCUELA PARTICULAR LLAGUEY,6.595238095238095,2013
1158,ESCUELA BASICA BENANCIO PEREZ,6.58,2013
1068,ESCUELA PARTICULAR CULIMO,6.566666666666666,2013
171,ESCUELA APAMILCA,6.56,2013
754,ESCUELA LA ARAUCANA,6.55,2013
7420,ESCUELA RURAL SAN PEDRO,6.55,2013
12779,COLEGIO ALTOS DEL CERRO GRANDE,6.541935483870968,2013
2038,ESCUELA BASICA EL ASILO,6.540000000000001,2013
2644,ESCUELA TANUME,6.533333333333334,2013
998,ESCUELA PARTICULAR ILTA,6.533333333333334,2013
6526,ESCUELA BASICA EL PERAL,6.533333333333334,2013
12064,ESCUELA BASICA EL PIURE,6.528571428571429,2013
4907,ESCUELA GOMERO,6.5200000000000005,2013
906,ESCUELA LOS CANELOS,6.516666666666667,2013
11200,ESCUELA PADRE ALBERTO HURTADO,6.516666666666667,2013
31130,COLEGIO PARTICULAR SUBVENCIONADO TIMONEL-CORONEL,6.512727272727273,2013
