ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
6510,ESCUELA BASICA PAILACOYAN,7.0,2021
939,ESCUELA ALMENDRO DE QUILE,7.0,2021
16989,CAMBRIDGE COLLEGE,6.923684210526316,2021
5078,ESCUELA CERRO COLORADO,6.9,2021
5340,ESC. BASICA LEONTINA VASQUEZ RIVERA,6.9,2021
3225,ESCUELA HORNILLOS,6.9,2021
24322,ESCUELA BASICA RURAL SENO OBSTRUCCION,6.885714285714286,2021
7424,ESCUELA RURAL VILLA CARACOL,6.875,2021
8244,ESCUELA RURAL DIAZ-LIRA,6.871428571428572,2021
4335,ESCUELA BASICA NUEVO AMANECER,6.866666666666667,2021
8126,ESCUELA RURAL AUCAR,6.8522727272727275,2021
4091,ESCUELA BASICA EL AVELLANAL,6.8500000000000005,2021
3945,ESCUELA LOS PUQUIOS,6.85,2021
2609,ESCUELA MUNICIPAL DE PALMILLA DE RETO,6.85,2021
12064,ESCUELA BASICA EL PIURE,6.85,2021
1237,ESCUELA BÃSICA PADRE HUMBERTO MUÃOZ R.,6.833333333333333,2021
8134,ESCUELA RURAL CONEB,6.825,2021
4426,ESCUELA BASICA EL PARRON,6.818181818181818,2021
11783,ESCUELA BASICA NÂ°1238 GIORDANO BRUNO,6.805945945945945,2021
7178,ESCUELA RURAL HUACAHUE,6.800000000000001,2021
4068,ESCUELA BUENA FE DE TUBUL,6.800000000000001,2021
3917,ESCUELA VALLE DE ATACALCO,6.8,2021
7038,ESCUELA RURAL HUILLICOIHUE,6.8,2021
275,ESCUELA BASICA ANDINA,6.8,2021
771,ESCUELA PARTICULAR EL ARRAYAN,6.8,2021
12664,ESCUELA SAN SANTIAGO DE MACAYA,6.8,2021
17640,ESCUELA BASICA EL PILME,6.8,2021
11206,ESCUELA MUNICIPAL LAS PUERTAS,6.8,2021
6425,ESCUELA PARTICULAR QUILIMANZANO,6.8,2021
4859,ESCUELA BASICA CHUPALLAR,6.8,2021
3015,COLEGIO PARTICULAR MONTESSORI,6.788568129330254,2021
4479,ESCUELA CHEQUENAL,6.785714285714286,2021
17710,ESCUELA BASICA EL MIRADOR,6.777777777777778,2021
3406,ESCUELA CARLOS ZINIGA FUENTES,6.766666666666667,2021
6332,ESCUELA BASICA NILCAHUIN,6.76,2021
7852,ESCUELA RURAL JUANITA FERNANDEZ,6.76,2021
159,ESCUELA JAINA,6.75,2021
3229,ESCUELA MANANTIALES,6.75,2021
1151,ESCUELA BASICA VILLA SANTA ANA,6.75,2021
3569,ESCUELA JAVIERA CARRERA,6.75,2021
3433,COLEGIO CONCEPCION DE PARRAL,6.748458904109589,2021
41764,AULA HOSPITALARIA DOMICILIARIA MEJILLONES,6.742857142857143,2021
3828,ESCUELA BASICA LOS COIGUES,6.742857142857143,2021
4095,ESCUELA BÃSICA MONTAÃA DE COPIHUES G 54-A,6.74,2021
502,ESCUELA DE LAS MARQUESAS,6.74,2021
3625,ESCUELA GABRIELA MISTRAL,6.7379310344827585,2021
13380,ESCUELA BASICA MUNICIPAL LOS PERALES,6.7375,2021
7966,ESCUELA RURAL LINEA SOLAR,6.733333333333333,2021
3555,ESCUELA OCTAVIO PALMA PEREZ,6.729545454545455,2021
12193,ESCUELA PARTICULAR N.310 RELDEHUE,6.7266666666666675,2021
6884,ESCUELA RURAL FLORA MARTIN IMIGO,6.725,2021
6322,ESCUELA WINGKUL-NIGEN,6.725,2021
8214,ESCUELA RURAL QUIAO,6.720000000000001,2021
24977,COLEGIO MAYOR TOBALABA,6.710654205607477,2021
375,ESCUELA VICTOR CARVAJAL MEZA,6.709068627450981,2021
4941,ESCUELA PODUCO BAJO,6.7,2021
5067,ESCUELA MAR LOS PINOS,6.7,2021
6992,ESCUELA RURAL VISTA HERMOSA,6.7,2021
8254,ESCUELA RURAL DETICO,6.7,2021
7471,ESCUELA RURAL PAJARITOS,6.7,2021
8082,ESCUELA RURAL CUMBRE DE LECAM,6.699999999999999,2021
7688,ESCUELA RURAL LAUCA,6.699999999999999,2021
6329,ESCUELA QUESQUECHAN,6.699999999999999,2021
788,ESCUELA BASICA VADO DE MORRILLOS,6.699999999999999,2021
8880,COLEGIO NIDO DE AGUILAS,6.68664047151277,2021
5490,ESC. BASICA COMUDE,6.685714285714285,2021
3554,ESCUELA CLORINDO ALVEAR,6.683076923076924,2021
4844,ESCUELA BASICA MENQUE,6.681818181818182,2021
1131,ESC. BASICA CASAS VIEJAS DE LONGOTOMA,6.680000000000001,2021
7945,ESCUELA RURAL EL PEUCHEN,6.68,2021
7847,ESCUELA RURAL CHUYAGUEN,6.675,2021
1157,ESCUELA BASICA LOS ALAMOS EL SOBRANTE,6.672727272727273,2021
76,ESCUELA VALLE DE CUYA,6.671428571428572,2021
2633,ESCUELA MARTA VALDES ECHEÃIQUE,6.67,2021
8262,ESCUELA RURAL COLCAO,6.666666666666667,2021
687,ESCUELA DE HUANTA,6.666666666666667,2021
4079,ESCUELA BASICA MATACO,6.666666666666667,2021
4128,ESCUELA BASICA DE RELOCA,6.664285714285714,2021
2568,ESCUELA MUNICIPAL DE PANAMA,6.663636363636363,2021
3204,COLEGIO CONSTITUCION,6.6607250755287,2021
4474,ESCUELA MILLAPOA DIUQUIN,6.659999999999999,2021
7172,ESCUELA RURAL PILPILCAHUIN,6.658333333333334,2021
1239,ESCUELA HERMANO FERNANDO DE LA FUENTE,6.6571428571428575,2021
4758,COLEGIO CARMELA CARVAJAL DE PRAT,6.656363636363637,2021
8144,ESCUELA RURAL CESAR GOMEZ GARCIA,6.654999999999999,2021
1181,ESCUELA BASICA LOS ANGELES,6.653846153846154,2021
91,ESCUELA COSAPILLA,6.65,2021
825,ESCUELA BASICA PABLO NERUDA,6.65,2021
8319,ESCUELA RURAL VALLE HERMOSO,6.65,2021
4942,ESCUELA TANAHUILLIN,6.65,2021
1244,ESCUELA SAN FRANCISCO,6.65,2021
5637,ESCUELA TROMEN BAJO,6.65,2021
3904,ESCUELA LOURDES,6.6499999999999995,2021
2622,ESCUELA MUNICIPAL VALLE HERMOSO,6.6461538461538465,2021
6996,ESCUELA RURAL PUMOL,6.645833333333333,2021
8112,ESCUELA RURAL JUAN VICTORINO TANGOL,6.644444444444445,2021
7113,ESCUELA PARTICULAR LIQUINE,6.64375,2021
8334,ESCUELA RURAL EL ESPOLON,6.64375,2021
3030,ESCUELA LIHUENO,6.641176470588236,2021
7864,ESCUELA RURAL SAN JORGE,6.640000000000001,2021
606,ESCUELA BASICA SAN ANDRES,6.640000000000001,2021
10878,ESCUELA BARRANCAS DE PICHI,6.638983050847457,2021
6798,ESCUELA RURAL PUNUCAPA,6.636363636363637,2021
7856,ESCUELA RURAL ASTILLEROS,6.635714285714286,2021
1153,ESCUELA BASICA EL CRUCERO,6.633333333333333,2021
6982,ESCUELA PARTICULAR MI TIERRA,6.633333333333333,2021
6003,ESC. PART. STA. ISABEL DE TRAFAMPULLI,6.633333333333333,2021
5850,ESC. BASICA VISTA HERMOSA,6.633333333333333,2021
13439,COLEGIO PUCARA,6.632734530938124,2021
13363,ESCUELA BASICA MUNICIPAL LA GRANJITA,6.628571428571428,2021
7762,ESCUELA RURAL ESTUARIO DE RELONCAVI,6.628571428571428,2021
6390,ESCUELA PARTICULAR ARAUCANA PELEHUE,6.627777777777777,2021
8299,ESCUELA RURAL CASA DE PESCA,6.627272727272728,2021
3829,ESCUELA BASICA EL CARACOL,6.627272727272728,2021
8315,ESCUELA RURAL SAN PEDRO,6.625,2021
3832,ESCUELA BASICA FABIAN DE LA FUENTE,6.625,2021
455,ESCUELA REPÃBLICA DE LOS ESTADOS UNIDOS,6.623050847457627,2021
7673,ESCUELA RURAL LOS PIONEROS DE SALTO CHICO,6.62,2021
5174,ESCUELA EL ALAMO,6.62,2021
508,ESCUELA DE CHIGUINTO,6.62,2021
8393,ESCUELA DE REPOLLAL,6.61875,2021
2592,ESCUELA MUNICIPAL EDUVIGIS PANTOJA L,6.618181818181818,2021
7065,ESCUELA RURAL EL MANZANO,6.616666666666667,2021
8335,ESCUELA RURAL RIO AZUL,6.616666666666667,2021
41510,COLEGIO EVERGREEN DE LA LIGUA,6.616666666666666,2021
1061,ESCUELA TILAMA,6.614285714285714,2021
7253,ESCUELA RURAL CURRALHUE GRANDE,6.614285714285714,2021
8868,COLEGIO LA GIROUETTE,6.613417190775682,2021
7590,ESCUELA RURAL LIUCURA,6.613333333333333,2021
1137,ESCUELA BASICA HORTENCIA POWELL S.,6.609999999999999,2021
6032,ESCUELA MAMUIL MALAL,6.607142857142857,2021
12018,ESCUELA EL RODEO,6.607142857142857,2021
2687,ESCUELA MUNICIPAL PASO DEL SOLDADO,6.6000000000000005,2021
8224,ESCUELA RURAL DICHAM,6.6000000000000005,2021
3920,ESCUELA SAN RICAEL,6.6000000000000005,2021
83,ESCUELA COTA COTANI,6.6000000000000005,2021
2893,ESCUELA CAONE,6.6,2021
807,ESCUELA EL MAITEN,6.6,2021
89,ESCUELA HUMAPALCA,6.6,2021
2874,ESCUELA EL DURAZNO,6.6,2021
3230,ESCUELA JOSE LUIS RICHARDS GONZALEZ,6.6,2021
7095,ESCUELA RURAL MILLEUCO,6.6,2021
7565,ESCUELA RURAL SAN FLORENTINO,6.6,2021
8373,ESCUELA RURAL SOBERANIA RIO CISNES,6.6,2021
8484,ESCUELA PUERTO TORO,6.6,2021
168,ESCUELA CUISAMA,6.6,2021
8188,ESCUELA RURAL LA CAPILLA,6.596428571428571,2021
468,ESCUELA BÃSICA IGNACIO FRANCO GALLO,6.596296296296296,2021
41845,COLEGIO BOSTON COLLEGE LAGUNA DEL SOL,6.595744680851064,2021
6371,ESCUELA ANTU-LAFQUEN,6.595000000000001,2021
24670,COLEGIO INTERNACIONAL  ALBA,6.593861386138614,2021
2704,ESCUELA MUNICIPAL EL PARQUE,6.589473684210526,2021
4133,ESCUELA ALIPIA ACEVEDO,6.588888888888889,2021
7693,ESCUELA RURAL PELLINES DEL SALTO,6.5875,2021
5029,DOMINGO FAUSTINO SARMIENTO,6.587155963302752,2021
8121,ESCUELA RURAL SANTA ROSA,6.586666666666667,2021
