ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
158,ESCUELA CHIAPA,6.9,2017
8304,ESCUELA RURAL RIO AMARILLO,6.9,2017
884,ESCUELA BASICA JUAN FRANCISCO GONZALEZ,6.85,2017
179,ESCUELA BASICA MAUQUE,6.85,2017
6526,ESCUELA BASICA EL PERAL,6.800000000000001,2017
7283,ESCUELA PARTICULAR RUCATAYO,6.8,2017
8317,ESCUELA RURAL LA POZA CONTAO,6.8,2017
11609,ESCUELA MUNICIPAL MELIMOYU,6.779999999999999,2017
4100,ESCUELA BASICA MELA,6.75,2017
960,ESCUELA PARTICULAR EL LLANITO,6.725,2017
8486,ESCUELA VILLA LAS ESTRELLAS,6.725,2017
1182,ESCUELA BASICA G-47,6.722222222222222,2017
3917,ESCUELA VALLE DE ATACALCO,6.7,2017
12664,ESCUELA SAN SANTIAGO DE MACAYA,6.7,2017
3851,ESCUELA HERNï¿½N MERINO CORREA,6.7,2017
1117,ESCUELA PARTICULAR LOS TOMES,6.7,2017
3636,ESCUELA LOANCO,6.7,2017
1130,ESC. BASICA LOS HORNOS DE HUAQUEN,6.675,2017
7437,ESCUELA PARTICULAR N.148 LOLOLHUE,6.671428571428572,2017
2643,ESCUELA PADRE ALBERTO HURTADO C.,6.67,2017
3616,ESCUELA BENITO MANCILLA PEREZ,6.6571428571428575,2017
909,ESCUELA LOS AZAHARES DE CERRO BLANCO,6.6571428571428575,2017
7471,ESCUELA RURAL PAJARITOS,6.65,2017
22209,ESCUELA RURAL EL LLOLLE,6.65,2017
73,ESCUELA VALLE DE COBIJA,6.65,2017
4479,ESCUELA CHEQUENAL,6.65,2017
1237,ESCUELA Bï¿½SICA PADRE HUMBERTO MUï¿½OZ R.,6.65,2017
6992,ESCUELA RURAL VISTA HERMOSA,6.65,2017
17711,ESCUELA BASICA EL ESPINO,6.6499999999999995,2017
503,ESCUELA DE LAS BREAS,6.633333333333333,2017
8880,COLEGIO NIDO DE AGUILAS,6.631217616580311,2017
8021,ESCUELA RURAL PUACURA,6.628571428571428,2017
788,ESCUELA BASICA VADO DE MORRILLOS,6.625,2017
3344,ESCUELA LOS BOLDOS,6.62,2017
8342,ESCUELA RURAL PUERTO RAMIREZ,6.62,2017
8225,ESCUELA RURAL CANAN,6.6000000000000005,2017
5362,ESCUELA RIO BLANCO,6.6,2017
7545,ESCUELA RURAL PUTRIHUE,6.6,2017
4303,ESCUELA LOS CAULLES,6.58,2017
485,ESCUELA BASICA YERBAS BUENAS,6.578571428571428,2017
4480,ESCUELA PARTICULAR EL CARRIZAL,6.576470588235294,2017
4335,ESCUELA BASICA NUEVO AMANECER,6.575,2017
13363,ESCUELA BASICA MUNICIPAL LA GRANJITA,6.566666666666666,2017
3369,ESCUELA ROBERTO MUNOZ VALDES,6.566666666666666,2017
8334,ESCUELA RURAL EL ESPOLON,6.564285714285715,2017
8198,ESCUELA RURAL SAN JUAN DE LINCAY,6.55,2017
3944,ESCUELA EL AVELLANO,6.55,2017
4327,ESCUELA VOLCAN ANTUCO,6.542857142857143,2017
4091,ESCUELA BASICA EL AVELLANAL,6.540000000000001,2017
16776,ESCUELA Bï¿½SICA Nï¿½2415 LYCï¿½E ANTOINE DE SAINT EXUPï¿½RY,6.537665782493368,2017
171,ESCUELA APAMILCA,6.533333333333334,2017
6884,ESCUELA RURAL FLORA MARTIN IMIGO,6.533333333333334,2017
6015,ESC. BASICA CURACALCO,6.533333333333334,2017
4421,ESCUELA BASICA PILGUEN,6.528571428571429,2017
22766,C.E.I.O.D. E INTERVENCION N.E.E.,6.525,2017
502,ESCUELA DE LAS MARQUESAS,6.5181818181818185,2017
8419,ESC. PROF. MIGUEL S. MONTECINOS C.,6.5181818181818185,2017
375,ESCUELA VICTOR CARVAJAL MEZA,6.501348314606742,2017
4097,ESCUELA BASICA LOS CORRALES,6.5,2017
994,ESCUELA PARTICULAR RINCON DEL ROMERO,6.5,2017
12562,ESCUELA LAONZANA,6.5,2017
7097,ESCUELA RURAL RAGUINTULALFU,6.5,2017
10897,ESCUELA DE ILLAPATA,6.5,2017
1153,ESCUELA BASICA EL CRUCERO,6.5,2017
841,ESCUELA PULPICA,6.5,2017
4942,ESCUELA TANAHUILLIN,6.5,2017
2594,ESCUELA BASICA  HUGO URZUA URZUA,6.5,2017
5167,ESCUELA NAHUELBUTA ALTO,6.5,2017
8362,ESCUELA RURAL ARROYO EL GATO,6.5,2017
996,ESCUELA PARTICULAR EL LANCO,6.5,2017
24218,ESC.NUESTRA SRA DE LA DIVINA PROVIDENCIA,6.5,2017
11399,ESCUELA SAN ERNESTO,6.5,2017
9268,ESCUELA Bï¿½SICA Nï¿½520 FLORENCE NIGHTINGALE,6.494326241134752,2017
369,ESCUELA LUCILA GODOY ALCAYAGA,6.4941176470588236,2017
8160,ESCUELA RURAL CULDEO,6.488888888888889,2017
1022,ESCUELA COIRON,6.486111111111111,2017
7253,ESCUELA RURAL CURRALHUE GRANDE,6.485714285714286,2017
3015,COLEGIO PARTICULAR MONTESSORI,6.485344827586207,2017
8307,ESCUELA RURAL HUEQUE,6.4818181818181815,2017
7823,ESCUELA RURAL EL YALE,6.4818181818181815,2017
2989,ESCUELA CENTINELA,6.480952380952381,2017
3927,ESCUELA CHAMIZAL,6.478571428571429,2017
13380,ESCUELA BASICA MUNICIPAL LOS PERALES,6.4750000000000005,2017
3988,ESCUELA LAS CARMELITAS,6.475,2017
