ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
8134,ESCUELA RURAL CONEB,7.0,2022
275,ESCUELA BASICA ANDINA,7.0,2022
3287,ESCUELA LOS MOGOTES,7.0,2022
7894,ESCUELA RURAL PARAGUAY CHICO EL GATO,6.942857142857143,2022
5340,ESC. BASICA LEONTINA VASQUEZ RIVERA,6.933333333333334,2022
2609,ESCUELA MUNICIPAL DE PALMILLA DE RETO,6.916666666666667,2022
17640,ESCUELA BASICA EL PILME,6.900000000000001,2022
5490,ESC. BASICA COMUDE,6.871428571428572,2022
1182,ESCUELA BASICA G-47,6.866666666666666,2022
4074,ESCUELA BASICA TAUCO,6.85,2022
4100,ESCUELA BASICA MELA,6.833333333333333,2022
3225,ESCUELA HORNILLOS,6.800000000000001,2022
771,ESCUELA PARTICULAR EL ARRAYAN,6.8,2022
158,ESCUELA CHIAPA,6.8,2022
3406,ESCUELA CARLOS ZINIGA FUENTES,6.8,2022
1102,ESCUELA BASICA BALDOMERO LILLO FIGUEROA,6.8,2022
4395,ESCUELA BASICA CERRO EL PADRE,6.8,2022
5097,ESCUELA BAJO LOS RIOS,6.8,2022
4091,ESCUELA BASICA EL AVELLANAL,6.8,2022
7038,ESCUELA RURAL HUILLICOIHUE,6.8,2022
12064,ESCUELA BASICA EL PIURE,6.8,2022
7852,ESCUELA RURAL JUANITA FERNANDEZ,6.783333333333334,2022
8149,ESCUELA RURAL CARIHUEICO,6.75,2022
168,ESCUELA CUISAMA,6.74,2022
5328,ESCUELA BASICA MITRAUQUEN,6.733333333333334,2022
1137,ESCUELA BASICA HORTENCIA POWELL S.,6.722222222222222,2022
24322,ESCUELA BASICA RURAL SENO OBSTRUCCION,6.722222222222222,2022
7824,ESCUELA RURAL HUAYUN BAJO,6.716666666666666,2022
8342,ESCUELA RURAL PUERTO RAMIREZ,6.716666666666666,2022
10887,ESCUELA DE CHITITA,6.714285714285714,2022
813,ESCUELA BASICA LA UNION,6.7125,2022
8299,ESCUELA RURAL CASA DE PESCA,6.7125,2022
13363,ESCUELA BASICA MUNICIPAL LA GRANJITA,6.711111111111111,2022
896,ESCUELA PARTICULAR LA COLORADA,6.709090909090909,2022
8158,ESCUELA RURAL CALEN,6.708333333333333,2022
3240,ESCUELA GASPAR HERRERA HERRERA,6.7,2022
8115,ESCUELA RURAL MORRO LOBOS ALTO,6.7,2022
843,ESCUELA LOS PERALES DE CAMPANARIO,6.7,2022
22093,ESCUELA BASICA SAN LUIS,6.7,2022
5850,ESC. BASICA VISTA HERMOSA,6.7,2022
1064,ESCUELA BASICA EL QUELON,6.7,2022
3882,ESCUELA NIDO DE GOLONDRINAS,6.699999999999999,2022
10878,ESCUELA BARRANCAS DE PICHI,6.693846153846154,2022
3828,ESCUELA BASICA LOS COIGUES,6.6923076923076925,2022
42029,COLEGIO CANEC HOSPITAL DE QUILLOTA,6.6875,2022
8880,COLEGIO NIDO DE AGUILAS,6.682982982982983,2022
3123,ESCUELA SANTA ROSA DE LAVADEROS,6.681818181818182,2022
5995,ESCUELA PARTICULAR QUECHEREHUE,6.676190476190476,2022
787,ESCUELA BASICA MORRILLOS,6.675,2022
1237,ESCUELA BÃSICA PADRE HUMBERTO MUÃOZ R.,6.675,2022
22145,ESCUELA RURAL EL MIRADOR,6.675,2022
2893,ESCUELA CAONE,6.671428571428572,2022
6003,ESC. PART. STA. ISABEL DE TRAFAMPULLI,6.659999999999999,2022
13380,ESCUELA BASICA MUNICIPAL LOS PERALES,6.654545454545455,2022
2544,COLEGIO CRUZ MARIA,6.654545454545455,2022
7095,ESCUELA RURAL MILLEUCO,6.65,2022
6855,ESCUELA RURAL MAIQUILLAHUE,6.65,2022
6221,ESCUELA PARTICULAR SAN ROQUE,6.65,2022
6363,ESCUELA PUCHILCO,6.65,2022
1116,ESCUELA PARTICULAR CANELILLA,6.65,2022
1117,ESCUELA PARTICULAR LOS TOMES,6.65,2022
4861,ESCUELA BASICA SAN ANTONIO,6.65,2022
917,ESCUELA RINCON DE LA CALERA,6.65,2022
825,ESCUELA BASICA PABLO NERUDA,6.6499999999999995,2022
12193,ESCUELA PARTICULAR N.310 RELDEHUE,6.64375,2022
3015,COLEGIO PARTICULAR MONTESSORI,6.640022050716648,2022
1181,ESCUELA BASICA LOS ANGELES,6.6375,2022
8320,ESCUELA RURAL MANIHUEICO,6.6375,2022
4093,ESCUELA BASICA LOS NEDANOS,6.633333333333333,2022
6282,ESCUELA EL LAUREL,6.633333333333333,2022
7787,ESCUELA RURAL QUENU,6.633333333333333,2022
1151,ESCUELA BASICA VILLA SANTA ANA,6.633333333333333,2022
3829,ESCUELA BASICA EL CARACOL,6.63,2022
4133,ESCUELA ALIPIA ACEVEDO,6.63,2022
