ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
926,ESCUELA ALTAR ALTO,6.9,2012
1154,ESCUELA RAUL ESCOBAR VARAS,6.85,2012
3444,ESCUELA AMANDA BENAVENTE D.,6.8,2012
12684,ESCUELA BASICA CANCOSA DE CANCOSA,6.8,2012
8338,ESCUELA DE LONCONAO,6.75,2012
73,ESCUELA VALLE DE COBIJA,6.7,2012
22093,ESCUELA BASICA SAN LUIS,6.7,2012
7079,ESCUELA RURAL MALCHEHUE,6.6875,2012
7755,ESCUELA RURAL SOBERANIA,6.683333333333334,2012
8242,ESCUELA RURAL EL MALLIN,6.633333333333333,2012
906,ESCUELA LOS CANELOS,6.628571428571428,2012
788,ESCUELA BASICA VADO DE MORRILLOS,6.62,2012
878,ESCUELA JOSE JOAQUIN VALLEJOS,6.6000000000000005,2012
922,ESCUELA BASICA LAS NIPAS,6.6000000000000005,2012
2815,ESCUELA EL CULENAR,6.6,2012
6912,ESCUELA RURAL MINAS DE HUEIMA,6.6,2012
8285,ESCUELA RURAL AGUA FRESCA,6.583333333333333,2012
8303,ESCUELA DE CHUMELDEN,6.577777777777778,2012
179,ESCUELA BASICA MAUQUE,6.55,2012
7855,ESCUELA RURAL PUELPUN,6.538461538461538,2012
3051,ESCUELA MAITENES,6.533333333333333,2012
4907,ESCUELA GOMERO,6.528571428571429,2012
11783,ESCUELA BASICA GIORDANO BRUNO,6.527027027027027,2012
8243,ESCUELA RURAL CONTUY,6.525,2012
3931,ESCUELA CARDEMIO FRANCO GUTIERREZ,6.515384615384615,2012
4327,ESCUELA VOLCAN ANTUCO,6.5125,2012
8300,ESCUELA RURAL LOYOLA,6.5,2012
752,ESCUELA VALLE HERMOSO,6.5,2012
5062,ESCUELA LOMAS DE ANGUILLAS,6.5,2012
6011,ESC. BASICA MOLULCO,6.5,2012
3015,COLEGIO PARTICULAR MONTESSORI,6.4862204724409445,2012
5167,ESCUELA NAHUELBUTA ALTO,6.4799999999999995,2012
4092,ESCUELA BASICA LAS VERTIENTES,6.477777777777778,2012
8287,ESCUELA RURAL AUCHAC,6.472222222222222,2012
8116,ESCUELA RURAL HUITE,6.463636363636363,2012
999,ESCUELA PARTICULAR 18 DE SEPTIEMBRE,6.459999999999999,2012
3421,ESCUELA JUAN BULNES ALDUNATE,6.45,2012
