ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
3239,ESCUELA MARIA PETRONILA CASTRO G.,6.9,2018
1080,ESC.BASICA JOSE ANTONIO ECHAVARRIA,6.9,2018
8486,ESCUELA VILLA LAS ESTRELLAS,6.875,2018
5981,ESCUELA PAULO ARAVENA ARAVENA,6.8,2018
6683,ESCUELA PARTICULAR WILFREDO PASSAU,6.8,2018
6884,ESCUELA RURAL FLORA MARTIN IMIGO,6.766666666666667,2018
4100,ESCUELA BASICA MELA,6.766666666666667,2018
6390,ESCUELA PARTICULAR ARAUCANA PELEHUE,6.742857142857143,2018
8190,ESCUELA RURAL EL ESTERO,6.7375,2018
12664,ESCUELA SAN SANTIAGO DE MACAYA,6.725,2018
1153,ESCUELA BASICA EL CRUCERO,6.720000000000001,2018
8130,ESCUELA RURAL TOCOIHUE,6.7,2018
6330,ESCUELA EL TUNEL,6.7,2018
8010,ESCUELA RURAL CURAHUE,6.7,2018
8304,ESCUELA RURAL RIO AMARILLO,6.7,2018
3917,ESCUELA VALLE DE ATACALCO,6.7,2018
7811,ESCUELA RURAL LOS BAJOS DE MAYELHUE,6.7,2018
6855,ESCUELA RURAL MAIQUILLAHUE,6.699999999999999,2018
13363,ESCUELA BASICA MUNICIPAL LA GRANJITA,6.68,2018
1237,ESCUELA BÃSICA PADRE HUMBERTO MUÃOZ R.,6.675,2018
4091,ESCUELA BASICA EL AVELLANAL,6.672727272727273,2018
7074,ESCUELA RURAL CACIQUE AILLAPAN,6.666666666666667,2018
1181,ESCUELA BASICA LOS ANGELES,6.6571428571428575,2018
8267,ESCUELA RURAL HUELPUN,6.65,2018
171,ESCUELA APAMILCA,6.6499999999999995,2018
10887,ESCUELA DE CHITITA,6.642857142857143,2018
8397,ESCUELA TULIO BURGOS RIVERA,6.633333333333333,2018
4303,ESCUELA LOS CAULLES,6.633333333333333,2018
8326,ESCUELA RURAL SAN FRANCISCO,6.633333333333333,2018
2038,ESCUELA BASICA EL ASILO,6.630769230769231,2018
3921,ESCUELA LAS HORMIGAS,6.63,2018
8880,COLEGIO NIDO DE AGUILAS,6.625448028673835,2018
7784,ESCUELA RURAL LOS PINIS,6.6,2018
7545,ESCUELA RURAL PUTRIHUE,6.6,2018
7160,ESCUELA RURAL FLOR M. MUNDACA H.,6.6,2018
3129,ESCUELA SAN SEBASTIAN DE PUICO,6.6,2018
952,ESCUELA BASICA LOS CIENAGOS,6.6,2018
2928,ESCUELA EL PARRON,6.6,2018
787,ESCUELA BASICA MORRILLOS,6.58,2018
960,ESCUELA PARTICULAR EL LLANITO,6.575,2018
8399,ESCUELA DE PUERTO BERTRAND,6.575,2018
1244,ESCUELA SAN FRANCISCO,6.566666666666666,2018
3015,COLEGIO PARTICULAR MONTESSORI,6.565393518518518,2018
2568,ESCUELA MUNICIPAL DE PANAMA,6.5588235294117645,2018
11031,SARA CRUZ ALVAYAY,6.556521739130435,2018
1157,ESCUELA BASICA LOS ALAMOS EL SOBRANTE,6.55625,2018
3636,ESCUELA LOANCO,6.555555555555555,2018
6361,ESCUELA DE CAYCHAYEN,6.55,2018
13380,ESCUELA BASICA MUNICIPAL LOS PERALES,6.55,2018
5186,ESCUELA PARTICULAR VILLA HERMOSA,6.55,2018
4517,ESCUELA MUNICIPAL CANCHILLAS,6.55,2018
24322,ESCUELA BASICA RURAL SENO OBSTRUCCION,6.55,2018
41018,COLEGIO CONQUISTADORES COQUIMBO,6.548275862068966,2018
8273,ESCUELA RURAL COINCO ALTO,6.542857142857143,2018
7847,ESCUELA RURAL CHUYAGUEN,6.540000000000001,2018
909,ESCUELA LOS AZAHARES DE CERRO BLANCO,6.536363636363637,2018
3920,ESCUELA SAN RICAEL,6.536363636363637,2018
24218,ESC.NUESTRA SRA DE LA DIVINA PROVIDENCIA,6.533333333333334,2018
3596,ESCUELA LA CAPILLA DE PILEN ALTO,6.533333333333334,2018
3344,ESCUELA LOS BOLDOS,6.533333333333334,2018
375,ESCUELA VICTOR CARVAJAL MEZA,6.526036866359448,2018
6015,ESC. BASICA CURACALCO,6.525,2018
7283,ESCUELA PARTICULAR RUCATAYO,6.525,2018
4097,ESCUELA BASICA LOS CORRALES,6.525,2018
8341,ESCUELA RURAL FRONTERIZA,6.521428571428571,2018
3924,ESCUELA VERGARA,6.514285714285714,2018
7812,ESCUELA RURAL CARMEN MIRANDA NAVARRO,6.511111111111111,2018
4480,ESCUELA PARTICULAR EL CARRIZAL,6.506666666666666,2018
12668,ESCUELA SOTOCA,6.5,2018
31108,ESCUELA ESPECIAL DE LENGUAJE Y COLEGIO BÃSICO CUMBRES DEL VALLE COLLEGE,6.5,2018
6332,ESCUELA BASICA NILCAHUIN,6.5,2018
5100,ESCUELA PLEGARIAS,6.5,2018
17640,ESCUELA BASICA EL PILME,6.5,2018
81,ESCUELA PAYACHATAS,6.5,2018
6032,ESCUELA MAMUIL MALAL,6.488888888888889,2018
825,ESCUELA BASICA PABLO NERUDA,6.4875,2018
30013,THE AZAPA VALLEY SCHOOL,6.480503144654088,2018
8262,ESCUELA RURAL COLCAO,6.4799999999999995,2018
10439,ESCUELA BASICA G-NÂ°348,6.4799999999999995,2018
7262,ESCUELA RURAL PISU-PISUE,6.475,2018
24670,COLEGIO INTERNACIONAL  ALBA,6.47047619047619,2018
8327,ESCUELA RURAL QUIACA,6.466666666666666,2018
8318,ESCUELA RURAL QUILDACO BAJO,6.466666666666666,2018
3631,ESCUELA EMA VASQUEZ GUTIERREZ,6.4624999999999995,2018
1047,ESCUELA PARTICULAR VALLE CAMISAS,6.459999999999999,2018
1130,ESC. BASICA LOS HORNOS DE HUAQUEN,6.459999999999999,2018
8342,ESCUELA RURAL PUERTO RAMIREZ,6.459999999999999,2018
20311,COLEGIO HUINGANAL,6.457414448669201,2018
7220,ESCUELA RURAL LA PENA,6.457142857142857,2018
7051,ESCUELA RURAL PANGUILELFUN,6.455555555555556,2018
5167,ESCUELA NAHUELBUTA ALTO,6.45,2018
6545,ESCUELA PARTICULAR CHANGO,6.45,2018
8214,ESCUELA RURAL QUIAO,6.45,2018
6526,ESCUELA BASICA EL PERAL,6.45,2018
2661,ESCUELA MUNICIPAL EL MANZANO,6.45,2018
2727,ESCUELA MUNICIPAL ESMERALDA,6.449999999999999,2018
13579,COLEGIO SAN ISIDRO,6.444444444444445,2018
3927,ESCUELA CHAMIZAL,6.444444444444445,2018
