ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
11100,COLEGIO CONDORIACO,6.8,2011
2038,ESCUELA BASICA EL ASILO,6.788888888888889,2011
1154,ESCUELA RAUL ESCOBAR VARAS,6.75,2011
795,ESC.BASICA DOMINGO SANTA MARIA GONZALEZ,6.75,2011
8116,ESCUELA RURAL HUITE,6.709999999999999,2011
4100,ESCUELA BASICA MELA,6.7,2011
11609,ESCUELA MUNICIPAL MELIMOYU,6.7,2011
7927,ESCUELA RURAL CAU CAU,6.675,2011
7811,ESCUELA RURAL LOS BAJOS DE MAYELHUE,6.675,2011
926,ESCUELA ALTAR ALTO,6.666666666666667,2011
10887,ESCUELA DE CHITITA,6.633333333333333,2011
7270,ESCUELA RURAL TRAFUN,6.609999999999999,2011
8274,ESCUELA RURAL CANDELARIA,6.6000000000000005,2011
6912,ESCUELA RURAL MINAS DE HUEIMA,6.6,2011
1064,ESCUELA BASICA EL QUELON,6.6,2011
11194,ESCUELA HUINCA,6.58,2011
168,ESCUELA CUISAMA,6.58,2011
8075,ESCUELA RURAL QUILAR,6.571428571428571,2011
3092,ESCUELA NACIONES UNIDAS,6.566666666666666,2011
8486,ESCUELA VILLA LAS ESTRELLAS,6.56,2011
7438,ESCUELA PARTICULAR SANTA ROSA DE COFALMO,6.550000000000001,2011
788,ESCUELA BASICA VADO DE MORRILLOS,6.55,2011
158,ESCUELA CHIAPA,6.55,2011
5167,ESCUELA NAHUELBUTA ALTO,6.55,2011
752,ESCUELA VALLE HERMOSO,6.55,2011
963,ESCUELA PARTICULAR EL TENIENTE,6.545454545454546,2011
2706,ESCUELA MUNICIPAL LO MARCHANT,6.542857142857143,2011
508,ESCUELA DE CHIGUINTO,6.542857142857143,2011
7225,ESCUELA RURAL EDUVIGES SCHULZ DE MOHR,6.540000000000001,2011
6286,ESCUELA LOS PLANCHADOS,6.533333333333334,2011
3242,ESCUELA SAN FRANCISCO DE ASIS,6.516666666666667,2011
552,ESCUELA DE CHACAY ALTO,6.5,2011
8149,ESCUELA RURAL CARIHUEICO,6.5,2011
6521,ESCUELA BASICA CAMARONES,6.5,2011
179,ESCUELA BASICA MAUQUE,6.5,2011
6614,ESC. BASICA CINCO MANZANOS,6.492307692307692,2011
7420,ESCUELA RURAL SAN PEDRO,6.492307692307692,2011
689,ESCUELA DE VARILLAR,6.4799999999999995,2011
4073,ESCUELA BASICA MONTE OLIMPO,6.4750000000000005,2011
4091,ESCUELA BASICA EL AVELLANAL,6.475,2011
4327,ESCUELA VOLCAN ANTUCO,6.475,2011
6042,ESCUELA PARTICULAR VIRGEN DE RINCONADA,6.475,2011
7855,ESCUELA RURAL PUELPUN,6.4692307692307685,2011
5850,ESC. BASICA VISTA HERMOSA,6.466666666666666,2011
6519,ESCUELA BASICA QUILLEN,6.466666666666666,2011
7000,ESCUELA RURAL HUEINAHUE,6.466666666666666,2011
7318,ESCUELA PARTICULAR HUEIMEN,6.466666666666666,2011
4891,ESCUELA BASICA ROA,6.459999999999999,2011
6354,ESCUELA LA CASCADA,6.45,2011
24341,ESCUELA PAMPA GUANACO,6.45,2011
8397,ESCUELA TULIO BURGOS RIVERA,6.438461538461539,2011
7856,ESCUELA RURAL ASTILLEROS,6.43,2011
3015,COLEGIO PARTICULAR MONTESSORI,6.42897435897436,2011
7493,ESCUELA RURAL LAGUNA BONITA,6.422222222222222,2011
10870,ESCUELA LA MANGA,6.42,2011
11200,ESCUELA PADRE ALBERTO HURTADO,6.416666666666667,2011
20165,ESCUELA PARTICULAR SUENOS DORADOS,6.415909090909091,2011
810,ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE,6.414285714285714,2011
8303,ESCUELA DE CHUMELDEN,6.4125,2011
5332,ESCUELA BASICA LA ANGOSTURA,6.411111111111111,2011
911,ESCUELA LOS TRIGOS,6.4,2011
11279,ESCUELA ANGEL MARIA,6.4,2011
19996,ESCUELA NUEVA MENETUE,6.4,2011
3226,ESCUELA LLONGOCURA,6.4,2011
8052,ESCUELA RURAL GUAPILACUY,6.4,2011
2891,ESCUELA EL BUCHE,6.4,2011
866,ESCUELA BASICA OSCAR CASTRO ZUNIGA,6.4,2011
4110,ESCUELA BASICA CAJON EL MANZANO,6.4,2011
3186,ESCUELA LOS PINOS DE SAN PEDRO,6.3999999999999995,2011
6941,ESCUELA RURAL EL VERGEL,6.3999999999999995,2011
8295,ESCUELA DE CHUIT-ISLAS DESERTORES,6.384615384615385,2011
8254,ESCUELA RURAL DETICO,6.383333333333333,2011
8362,ESCUELA RURAL ARROYO EL GATO,6.38,2011
8163,ESCUELA RURAL CHULLEC,6.38,2011
2643,ESCUELA PADRE ALBERTO HURTADO C.,6.377777777777777,2011
1131,ESC. BASICA CASAS VIEJAS DE LONGOTOMA,6.377777777777777,2011
4397,ESCUELA BASICA DANICALQUI,6.370588235294117,2011
4017,ESCUELA BASICA MANUEL BAQUEDANO GONZALEZ,6.37,2011
4063,ESCUELA BASICA VALLE LOS CASTANOS,6.366666666666667,2011
3204,COLEGIO CONSTITUCION,6.364634146341464,2011
4299,ESCUELA EL PARAISO,6.358333333333333,2011
3876,ESCUELA HECTOR MANUEL ARIAS CORTES,6.358064516129032,2011
7569,ESCUELA CALETA HUELLELHUE,6.357142857142857,2011
12064,ESCUELA BASICA EL PIURE,6.354545454545455,2011
7116,ESCUELA PARTICULAR EL PORVENIR,6.3500000000000005,2011
3078,ESCUELA JUAN VERGARA,6.3500000000000005,2011
864,ESCUELA BASICA ALBERTO ORREGO LUCO,6.35,2011
7932,ESCUELA RURAL LLICO,6.35,2011
5062,ESCUELA LOMAS DE ANGUILLAS,6.35,2011
6277,ESCUELA BASICA LAS QUINIENTAS,6.35,2011
1081,ESC.BASICA EUSEBIO LILLO ROBLES,6.35,2011
7274,ESCUELA RURAL LA GRUTA,6.35,2011
6602,ESCUELA BASICA CATRIANCHE,6.35,2011
6358,ESCUELA BASICA ESTACION TOLTEN,6.35,2011
6621,ESC. BASICA MALALCHE BAJO,6.3428571428571425,2011
24670,COLEGIO INTERNACIONAL  ALBA,6.3414312617702455,2011
1108,ESCUELA BASICA MARTA BRUNETT,6.341176470588235,2011
84,ESCUELA LOS ALAMOS,6.34,2011
8300,ESCUELA RURAL LOYOLA,6.34,2011
1158,ESCUELA BASICA BENANCIO PEREZ,6.3375,2011
6868,ESCUELA RURAL INIPULLI,6.333333333333333,2011
7881,ESCUELA RURAL HUANTRUNES,6.333333333333333,2011
5987,ESC. BASICA LEUFUCHE,6.333333333333333,2011
807,ESCUELA EL MAITEN,6.333333333333333,2011
6473,ESCUELA PARTICULAR INES DE SUAREZ,6.328571428571429,2011
4096,ESCUELA BASICA QUILE,6.325,2011
