ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
24322,ESCUELA BASICA RURAL SENO OBSTRUCCION,7.0,2009
795,ESC.BASICA DOMINGO SANTA MARIA GONZALEZ,7.0,2009
22109,ESCUELA RURAL PUERTO BONITO,6.9,2009
6941,ESCUELA RURAL EL VERGEL,6.8,2009
13336,ESCUELA BASICA JOSE IGNACIO ZENTENO,6.779999999999999,2009
752,ESCUELA VALLE HERMOSO,6.716666666666666,2009
1154,ESCUELA RAUL ESCOBAR VARAS,6.7,2009
11194,ESCUELA HUINCA,6.68,2009
6602,ESCUELA BASICA CATRIANCHE,6.67,2009
84,ESCUELA LOS ALAMOS,6.666666666666667,2009
3832,ESCUELA BASICA FABIAN DE LA FUENTE,6.641666666666667,2009
4907,ESCUELA GOMERO,6.633333333333333,2009
22663,COLEGIO MONTE VERDE,6.604545454545455,2009
11686,ESCUELA HEROES DE LA CONCEPCION,6.6000000000000005,2009
6546,ESCUELA PARTICULAR BAJO PELLAHUEN,6.58,2009
1137,ESCUELA BASICA HORTENCIA POWELL S.,6.5588235294117645,2009
8486,ESCUELA VILLA LAS ESTRELLAS,6.557142857142857,2009
8098,ESCUELA RURAL CAULIN ALTO,6.55,2009
4502,ESCUELA BASICA TURQUIA,6.542857142857143,2009
24218,ESC.NUESTRA SRA DE LA DIVINA PROVIDENCIA,6.542857142857143,2009
5167,ESCUELA NAHUELBUTA ALTO,6.533333333333334,2009
8124,ESCUELA RURAL CAUCAHUE,6.533333333333333,2009
8040,ESCUELA RURAL CAPILLA DE LOURDES,6.527272727272727,2009
1081,ESC.BASICA EUSEBIO LILLO ROBLES,6.516666666666667,2009
7225,ESCUELA RURAL EDUVIGES SCHULZ DE MOHR,6.514285714285714,2009
10237,ESCUELA BASICA SAN NICOLAS,6.504,2009
179,ESCUELA BASICA MAUQUE,6.5,2009
6009,ESC. BASICA MOLULCO,6.5,2009
12684,ESCUELA BASICA CANCOSA DE CANCOSA,6.5,2009
7259,ESCUELA RURAL COCULE,6.5,2009
26036,ESCUELA ESP. HOSPITAL CLINICO PONTIFICIA UNIV,6.5,2009
495,ESCUELA AGLADE MARIN VARGAS,6.490909090909091,2009
