ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
6949,"ESCUELA RURAL ""LA ESPERANZA""",6.95,2005
752,ESCUELA VALLE HERMOSO,6.8428571428571425,2005
3986,SANTA ROSA LAS RAICES,6.7875,2005
7620,"ESCUELA PARTICULAR N.160 ""MILLAHUAIMO""",6.783333333333334,2005
12720,COLEGIO ACUARELLA,6.779999999999999,2005
8486,ESCUELA VILLA LAS ESTRELLAS,6.75,2005
6221,SAN ROQUE,6.699999999999999,2005
25914,ESCUELA DE PARVULOS SAN JORGE DE COLINA,6.6947368421052635,2005
15743,COLEGIO SAN SEBASTIAN,6.672000000000001,2005
11194,ESCUELA BASICA HUINCA,6.6461538461538465,2005
13325,ESCUELA BASICA JOSE RAFAEL SALINAS,6.642857142857143,2005
963,ESCUELA EL TENIENTE,6.633333333333334,2005
2667,ESCUELA EUSEBIO ABARCA,6.625,2005
1154,ESCUELA RAUL ESCOBAR VARAS,6.6,2005
24322,ESCUELA RURAL SENO OBSTRUCCION,6.599999999999999,2005
819,ESCUELA BUENAVENTURA,6.590909090909091,2005
948,ESCUELA LAS AGUILAS,6.583333333333333,2005
22227,COLEGIO AUSTRALIS,6.565384615384615,2005
25927,ESCUELA BASICA TERRA DI BIMBI,6.565,2005
24488,AMERICAN BRITISH SCHOOL,6.552366863905325,2005
7087,"ESCUELA RURAL ""PULLINQUE ALTO""",6.542857142857143,2005
789,ESCUELA EL ESPINAL DE RIO HURTADO,6.528571428571429,2005
13580,COLEGIO SATHYA SAI,6.516666666666667,2005
5932,COLONIA MENDOZA,6.516666666666667,2005
881,ESCUELA BASICA MARIA QUITERIA RAMIREZ,6.5,2005
941,ESCUELA MINERAL DE TALCA,6.5,2005
18055,COLEGIO MOZART SCHULE,6.5,2005
2655,ESCUELA ESPINILLO,6.491666666666667,2005
25958,ESCUELA BASICA MIRASOL DE SANTIAGO,6.490909090909091,2005
1452,ESCUELA PARTICULAR BAMBI,6.485714285714285,2005
999,ESCUELA DIECIOCHO DE SEPTIEMBRE,6.475,2005
7840,"ESCUELA RURAL ""PAULINO VELASQUEZ ALVARAD",6.471428571428571,2005
8335,"ESCUELA RURAL ""RIO AZUL""",6.4625,2005
1137,ESC. BAS. HORTENSIA POWELL'S,6.451724137931034,2005
25006,SCUOLA ITALIANA VITTORIO MONTIGLIO ANEXO,6.449418604651163,2005
8334,"ESCUELA RURAL ""EL ESPOLON""",6.446666666666667,2005
13128,ESCUELA MOISES LOPEZ TRUJILLO,6.446153846153846,2005
8285,"ESCUELA RURAL ""AGUA FRESCA""",6.446153846153846,2005
25826,ESCUELA BASICA  MILLAWE,6.441818181818182,2005
51,ESCUELA GALLINAZOS,6.441666666666666,2005
14823,COLEGIO ANTONIO ZANOLETTI,6.436842105263158,2005
820,ESCUELA SOL DEL CUYANO,6.4363636363636365,2005
503,ESCUELA,6.433333333333334,2005
8155,"ESCUELA RURAL ""DALLICO""",6.433333333333334,2005
25130,ESCUELA BASICA PARTICULAR  LOS CEIBOS,6.43265306122449,2005
1080,ESCUELA BASICA JOSE ANTONIO ECHAVARRIA,6.42,2005
13579,COLEGIO SAN ISIDRO,6.416666666666667,2005
1021,ESCUELA BASICA ZAPALLAR,6.416666666666667,2005
736,ESCUELA LAS SOSSAS,6.415384615384616,2005
6914,"ESCUELA RURAL ""HUIPEL""",6.410526315789474,2005
17902,COLEGIO TERESA DE LOS ANDES,6.409401709401709,2005
1152,ESCUELA BASICA G-21,6.408333333333333,2005
2257,ESCUELA CHACAYES,6.407692307692307,2005
4397,DANICALQUI,6.404999999999999,2005
785,ESCUELA LOS MAITENES DE SAMO ALTO,6.4,2005
1181,ESCUELA BAS. LOS ANGELES,6.4,2005
25212,ESC. BAS. INST. NAC DE REHABILITACION PA,6.4,2005
3684,SANTA CRUZ DE CUCA,6.4,2005
8033,ESCUELA RURAL LA ESTANCIA,6.4,2005
25959,ESCUELA HOSPITAL SAN JUAN DE DIOS,6.4,2005
10897,ESCUELA VALLE DE ILLAPATA,6.4,2005
856,ESCUELA BASICA IRENE MORALES,6.3999999999999995,2005
